star_id,mission,label,orbital_period,transit_duration,transit_depth,planet_radius,impact_parameter,transit_snr,mes,stellar_teff,stellar_logg,stellar_radius,mag
10797460,Kepler,CONFIRMED,9.48803557,2.9575,615.8,2.26,0.146,,,5455.0,4.467,0.927,15.347
10811496,Kepler,CANDIDATE,19.89913995,1.7822,10829.0,14.6,0.969,,,5853.0,4.544,0.868,15.436
10848459,Kepler,FALSE_POSITIVE,1.736952453,2.40641,8079.2,33.46,1.276,,,5805.0,4.564,0.791,15.597
10854555,Kepler,CONFIRMED,2.525591777,1.6545,603.3,2.75,0.701,,,6031.0,4.438,1.046,15.509
10872983,Kepler,CONFIRMED,11.09432054,4.5945,1517.5,3.9,0.538,,,6046.0,4.486,0.972,15.714
6721123,Kepler,FALSE_POSITIVE,7.36178958,5.022,233.7,39.21,1.169,,,6227.0,3.986,1.958,12.66
10910878,Kepler,CONFIRMED,16.06864674,3.5347,4914.3,5.76,0.052,,,5031.0,4.485,0.848,15.841
11446443,Kepler,CONFIRMED,2.470613377,1.74319,14231.0,13.04,0.818,,,5820.0,4.457,0.964,11.338
10666592,Kepler,CONFIRMED,2.204735417,3.88864,6674.7,16.1,0.224,,,6440.0,4.019,1.952,10.463
6922244,Kepler,CONFIRMED,3.522498429,3.19843,9145.7,14.59,0.631,,,6225.0,4.169,1.451,13.563
10984090,Kepler,CONFIRMED,3.709214104,2.6302,131.1,1.16,0.051,,,5833.0,4.407,1.022,12.772
10419211,Kepler,FALSE_POSITIVE,11.521446064,3.6399,17984.0,150.51,2.483,,,5795.0,4.554,0.848,15.472
10464078,Kepler,FALSE_POSITIVE,19.40393776,12.2155,8918.7,7.18,0.804,,,5043.0,4.591,0.68,15.487
10480982,Kepler,FALSE_POSITIVE,19.221388942,4.79843,74284.0,49.29,1.065,,,6117.0,4.496,0.947,15.341
10485250,Kepler,FALSE_POSITIVE,16.46983774,9.4378,10479.0,7.94,0.292,,,5152.0,4.517,0.786,15.788
10526549,Kepler,CONFIRMED,9.27358173,3.2875,1288.3,2.47,0.387,,,4856.0,4.583,0.696,15.302
10583066,Kepler,CONFIRMED,6.02930329,1.5821,1912.7,2.85,0.258,,,4537.0,4.648,0.672,15.784
10583180,Kepler,FALSE_POSITIVE,2.696370652,3.6129,397.9,1.58,0.044,,,4989.0,4.504,0.819,15.269
10601284,Kepler,CONFIRMED,5.349553819,3.0278,831.0,2.55,0.092,,,5185.0,4.44,0.91,15.416
