iter	Passed	Remaining
0	178	266874
1	200	150441
2	221	110468
3	241	90182
4	259	77656
5	280	69724
6	298	63719
7	318	59348
8	339	56302
9	359	53574
10	379	51346
11	401	49791
12	421	48251
13	440	46747
14	459	45444
15	479	44443
16	497	43413
17	517	42634
18	536	41782
19	555	41123
20	575	40513
21	595	40006
22	614	39451
23	633	38965
24	653	38552
25	675	38270
26	695	37953
27	715	37598
28	735	37325
29	755	37025
30	775	36743
31	793	36413
32	810	36047
33	828	35726
34	846	35427
35	863	35108
36	880	34810
37	898	34556
38	916	34321
39	934	34096
40	952	33911
41	970	33683
42	987	33475
43	1005	33270
44	1022	33069
45	1040	32878
46	1059	32758
47	1078	32627
48	1098	32541
49	1117	32420
50	1136	32295
51	1157	32223
52	1175	32097
53	1193	31957
54	1211	31825
55	1229	31696
56	1247	31577
57	1265	31459
58	1282	31322
59	1299	31197
60	1318	31109
61	1338	31042
62	1356	30944
63	1374	30839
64	1393	30764
65	1411	30667
66	1431	30606
67	1448	30510
68	1467	30433
69	1485	30346
70	1503	30256
71	1522	30204
72	1542	30156
73	1560	30065
74	1577	29968
75	1595	29891
76	1613	29813
77	1632	29755
78	1648	29657
79	1666	29589
80	1684	29507
81	1702	29438
82	1718	29343
83	1735	29257
84	1752	29170
85	1769	29100
86	1793	29123
87	1810	29053
88	1827	28976
89	1843	28888
90	1861	28827
91	1881	28788
92	1899	28737
93	1917	28677
94	1934	28604
95	1951	28534
96	1968	28470
97	1985	28403
98	2003	28353
99	2022	28308
100	2038	28238
101	2055	28175
102	2073	28117
103	2090	28059
104	2107	27995
105	2124	27932
106	2141	27876
107	2158	27819
108	2176	27776
109	2195	27747
110	2213	27692
111	2230	27647
112	2248	27595
113	2267	27569
114	2284	27517
115	2301	27460
116	2318	27402
117	2335	27358
118	2354	27324
119	2371	27271
120	2390	27241
121	2408	27208
122	2425	27152
123	2443	27110
124	2460	27069
125	2478	27025
126	2496	26990
127	2514	26950
128	2531	26902
129	2548	26857
130	2565	26810
131	2568	26620
132	2585	26573
133	2601	26516
134	2618	26476
135	2636	26445
136	2653	26402
137	2671	26363
138	2687	26318
139	2705	26281
140	2722	26239
141	2740	26208
142	2757	26167
143	2774	26121
144	2791	26088
145	2809	26057
146	2826	26013
147	2844	25983
148	2861	25948
149	2879	25913
150	2895	25869
151	2912	25826
152	2929	25789
153	2946	25752
154	2963	25711
155	2980	25678
156	2997	25637
157	3015	25613
158	3033	25585
159	3051	25554
160	3068	25523
161	3086	25491
162	3105	25470
163	3121	25432
164	3138	25389
165	3156	25365
166	3172	25324
167	3190	25297
168	3207	25263
169	3224	25226
170	3242	25200
171	3261	25184
172	3280	25160
173	3297	25127
174	3315	25099
175	3337	25107
176	3358	25099
177	3376	25077
178	3393	25044
179	3410	25011
180	3427	24979
181	3444	24945
182	3461	24910
183	3478	24877
184	3496	24852
185	3513	24820
186	3530	24789
187	3547	24757
188	3564	24727
189	3581	24692
190	3598	24659
191	3615	24628
192	3632	24599
193	3652	24591
194	3670	24564
195	3689	24546
196	3707	24524
197	3726	24506
198	3744	24478
199	3762	24458
200	3781	24441
201	3801	24427
202	3822	24421
203	3843	24420
204	3863	24404
205	3883	24392
206	3904	24388
207	3924	24375
208	3942	24352
209	3960	24328
210	3978	24306
211	3995	24276
212	4013	24249
213	4030	24221
214	4047	24193
215	4065	24166
216	4083	24140
217	4099	24110
218	4117	24083
219	4133	24051
220	4151	24027
221	4168	23998
222	4187	23977
223	4204	23951
224	4224	23937
225	4241	23910
226	4258	23880
227	4277	23864
228	4298	23856
229	4316	23837
230	4333	23804
231	4351	23785
232	4370	23764
233	4389	23749
234	4408	23733
